 Large B/P 	 Large ROE 	 Large S/P 	 Large Return Rate in the last quarter 	 Large Market Value 	 Small systematic Risk	Annual Return	Excess Return	Systematic Risk	Total Risk	Abs. Win Rate	Rel. Win Rate
1	0	0	0	0	0	1.95%	1.34%	1.902607858	21.86%	60.00%	40.00%
0	1	0	0	0	0	2.38%	0.64%	1.26328667	12.87%	55.00%	65.00%
0	0	1	0	0	0	8.03%	2.65%	1.894339115	20.83%	55.00%	50.00%
0	0	0	1	0	0	-0.67%	0.07%	1.425453672	15.55%	55.00%	35.00%
0	0	0	0	1	0	2.20%	0.44%	1.094578724	10.67%	65.00%	70.00%
0	0	0	0	0	1	-5.34%	-1.49%	0.859994814	8.89%	40.00%	30.00%
0.5	0.5	0	0	0	0	6.19%	1.63%	1.392192441	14.41%	55.00%	65.00%
0.5	0	0.5	0	0	0	6.17%	2.34%	1.939118385	21.82%	60.00%	50.00%
0	0.5	0.5	0	0	0	7.82%	1.97%	1.354461574	13.77%	55.00%	70.00%
0.5	0	0	0.5	0	0	6.85%	1.90%	1.524957345	16.28%	55.00%	40.00%
0	0.5	0	0.5	0	0	4.73%	1.23%	1.247375502	13.18%	65.00%	65.00%
0	0	0.5	0.5	0	0	9.84%	2.64%	1.591408676	16.61%	60.00%	55.00%
0.5	0	0	0	0.5	0	2.56%	0.74%	1.420759482	14.60%	55.00%	50.00%
0	0.5	0	0	0.5	0	4.60%	1.07%	1.091537185	10.99%	65.00%	75.00%
0	0	0.5	0	0.5	0	4.17%	1.10%	1.419546406	14.24%	55.00%	50.00%
0	0	0	0.5	0.5	0	3.57%	0.95%	1.203244498	12.94%	65.00%	60.00%
0.5	0	0	0	0	0.5	-2.34%	-0.62%	0.977324784	10.69%	65.00%	45.00%
0	0.5	0	0	0	0.5	0.62%	0.02%	0.86412172	8.73%	60.00%	50.00%
0	0	0.5	0	0	0.5	1.53%	0.33%	1.066938445	10.90%	55.00%	60.00%
0	0	0	0.5	0	0.5	0.11%	-0.06%	1.007703752	10.34%	55.00%	50.00%
0	0	0	0	0.5	0.5	1.00%	0.07%	0.800792483	7.88%	55.00%	45.00%
0.333	0.333	0.333	0	0	0	7.80%	2.13%	1.509222791	15.80%	55.00%	65.00%
0.333	0.333	0	0.333	0	0	6.43%	1.61%	1.347686367	13.80%	60.00%	50.00%
0.333	0	0.333	0.333	0	0	6.83%	2.02%	1.674320028	17.71%	55.00%	40.00%
0	0.333	0.333	0.333	0	0	8.05%	2.00%	1.331837873	13.57%	55.00%	65.00%
0.333	0.333	0	0	0.333	0	4.53%	1.09%	1.256505421	12.43%	60.00%	70.00%
0.333	0	0.333	0	0.333	0	6.73%	1.97%	1.614018023	17.39%	55.00%	60.00%
0	0.333	0.333	0	0.333	0	5.02%	1.18%	1.210946554	11.96%	55.00%	65.00%
0.333	0	0	0.333	0.333	0	5.02%	1.26%	1.340314875	13.66%	60.00%	55.00%
0	0.333	0	0.333	0.333	0	4.26%	1.07%	1.159335809	12.22%	65.00%	60.00%
0	0	0.333	0.333	0.333	0	7.89%	1.98%	1.374120287	14.05%	60.00%	65.00%
0.333	0.333	0	0	0	0.333	1.69%	0.32%	0.911257538	9.66%	65.00%	45.00%
0.333	0	0.333	0	0	0.333	0.02%	0.08%	1.221239365	13.00%	60.00%	50.00%
0	0.333	0.333	0	0	0.333	4.58%	1.02%	1.00204896	10.09%	55.00%	55.00%
0.333	0	0	0.333	0	0.333	2.08%	0.48%	1.117253227	11.73%	55.00%	55.00%
0	0.333	0	0.333	0	0.333	2.22%	0.43%	0.948520312	9.71%	55.00%	40.00%
0	0	0.333	0.333	0	0.333	4.62%	1.12%	1.204041067	12.43%	55.00%	45.00%
0.333	0	0	0	0.333	0.333	1.77%	0.31%	0.924853412	9.36%	60.00%	50.00%
0	0.333	0	0	0.333	0.333	2.40%	0.43%	0.857932817	8.48%	65.00%	45.00%
0	0	0.333	0	0.333	0.333	1.72%	0.27%	0.90535242	8.98%	55.00%	50.00%
0	0	0	0.333	0.333	0.333	1.00%	0.11%	0.88915352	9.09%	60.00%	45.00%
0.25	0.25	0.25	0.25	0	0	9.61%	2.47%	1.481031267	15.36%	55.00%	50.00%
0.25	0.25	0.25	0	0.25	0	5.80%	1.46%	1.347108913	13.66%	55.00%	70.00%
0.25	0.25	0	0.25	0.25	0	6.42%	1.56%	1.217077907	12.51%	65.00%	65.00%
0.25	0	0.25	0.25	0.25	0	6.56%	1.81%	1.579028222	16.25%	55.00%	45.00%
0	0.25	0.25	0.25	0.25	0	6.77%	1.67%	1.269450205	13.04%	60.00%	55.00%
0.25	0.25	0.25	0	0	0.25	4.29%	1.04%	1.136064633	11.75%	60.00%	60.00%
0.25	0.25	0	0.25	0	0.25	3.36%	0.73%	0.996955143	10.25%	55.00%	60.00%
0.25	0	0.25	0.25	0	0.25	4.36%	1.16%	1.312257301	13.93%	60.00%	50.00%
0	0.25	0.25	0.25	0	0.25	5.13%	1.17%	1.071879778	10.85%	60.00%	60.00%
0.25	0.25	0	0	0.25	0.25	2.39%	0.42%	0.852324781	8.39%	55.00%	55.00%
0.25	0	0.25	0	0.25	0.25	2.07%	0.45%	1.094061693	11.22%	60.00%	60.00%
0	0.25	0.25	0	0.25	0.25	3.74%	0.76%	0.906347414	8.92%	55.00%	65.00%
0.25	0	0	0.25	0.25	0.25	3.09%	0.64%	0.979382952	10.05%	55.00%	65.00%
0	0.25	0	0.25	0.25	0.25	1.86%	0.34%	0.892118303	9.20%	65.00%	40.00%
0	0	0.25	0.25	0.25	0.25	3.67%	0.79%	1.048570622	10.51%	60.00%	55.00%
0.2	0.2	0.2	0.2	0.2	0	8.05%	2.00%	1.371974486	13.92%	55.00%	60.00%
0.2	0.2	0.2	0.2	0	0.2	5.49%	1.30%	1.181784489	11.92%	55.00%	55.00%
0.2	0.2	0.2	0	0.2	0.2	3.47%	0.74%	1.010770576	10.08%	55.00%	65.00%
0.2	0.2	0	0.2	0.2	0.2	3.37%	0.68%	0.918444485	9.20%	60.00%	60.00%
0.2	0	0.2	0.2	0.2	0.2	4.49%	1.04%	1.162878127	11.82%	55.00%	50.00%
0	0.2	0.2	0.2	0.2	0.2	4.05%	0.88%	0.998392017	10.06%	60.00%	65.00%
0.167	0.167	0.167	0.167	0.167	0.167	5.75%	1.29%	1.048489346	10.50%	55.00%	75.00%
1	0	0	0	0	0	0.221805013	0.062884344	1.580440404	0.164360471	0.65	0.8
0	1	0	0	0	0	0.142352611	0.039906346	1.207561149	0.120846922	0.55	0.8
0	0	1	0	0	0	0.29572634	0.076156332	1.31686207	0.147753946	0.65	0.85
0	0	0	1	0	0	0.002085568	0.012470463	1.43796368	0.159745389	0.5	0.55
0	0	0	0	1	0	0.030526288	0.012327982	1.109287342	0.104520166	0.6	0.75
0	0	0	0	0	1	0.088313152	0.031419318	1.47953853	0.151895847	0.55	0.65
0.5	0.5	0	0	0	0	0.297515856	0.071642392	0.902055261	0.102549587	0.8	0.85
0.5	0	0.5	0	0	0	0.268573391	0.071389702	1.368879796	0.152822381	0.65	0.75
0	0.5	0.5	0	0	0	0.282267408	0.069615561	1.049271384	0.115085074	0.8	0.85
0.5	0	0	0.5	0	0	0.200348741	0.053345141	1.108715491	0.122758633	0.75	0.7
0	0.5	0	0.5	0	0	0.119429299	0.034025708	1.058055685	0.112005187	0.6	0.8
0	0	0.5	0.5	0	0	0.242545268	0.063871148	1.189589303	0.135120255	0.7	0.85
0.5	0	0	0	0.5	0	0.181483763	0.049242422	1.218340366	0.123549058	0.7	0.85
0	0.5	0	0	0.5	0	0.086544275	0.024163569	0.916896279	0.087401145	0.6	0.9
0	0	0.5	0	0.5	0	0.195423636	0.050865351	1.028517198	0.109838853	0.75	0.9
0	0	0	0.5	0.5	0	-0.007220306	0.004896535	1.14195656	0.119471287	0.55	0.7
0.5	0	0	0	0	0.5	0.206410031	0.057130606	1.364708915	0.145681969	0.65	0.75
0	0.5	0	0	0	0.5	0.200256525	0.05266673	1.104658954	0.120028102	0.65	0.8
0	0	0.5	0	0	0.5	0.229239475	0.062273267	1.286115366	0.14602633	0.65	0.7
0	0	0	0.5	0	0.5	0.071486456	0.026644048	1.274209975	0.143663363	0.55	0.5
0	0	0	0	0.5	0.5	0.056051551	0.020654339	1.311969998	0.126382353	0.6	0.65
0.333	0.333	0.333	0	0	0	0.300085602	0.073955052	1.067217706	0.120580018	0.85	0.85
0.333	0.333	0	0.333	0	0	0.261642195	0.063732694	0.862257182	0.097092098	0.85	0.9
